,Mg,Al,Si,K,Type
0,4.49,1.1,71.78,0.06,1
1,3.6,1.36,72.73,0.48,1
2,3.55,1.54,72.99,0.39,1
3,3.69,1.29,72.61,0.57,1
4,3.62,1.24,73.08,0.55,1
5,3.61,1.62,72.97,0.64,1
6,3.6,1.14,73.09,0.58,1
7,3.61,1.05,73.24,0.57,1
8,3.58,1.37,72.08,0.56,1
9,3.6,1.36,72.99,0.57,1
10,3.46,1.56,73.2,0.67,1
11,3.66,1.27,73.01,0.6,1
12,3.43,1.4,73.28,0.69,1
13,3.56,1.27,73.21,0.54,1
14,3.59,1.31,73.29,0.58,1
15,3.54,1.23,73.24,0.58,1
16,3.67,1.16,73.11,0.61,1
17,3.85,0.89,71.36,0.15,1
18,3.73,1.18,72.12,0.06,1
19,3.54,1.69,72.73,0.54,1
20,3.55,1.49,72.75,0.54,1
21,3.75,0.29,72.02,0.03,1
22,3.62,1.29,72.79,0.59,1
23,3.57,1.35,73.02,0.62,1
24,3.5,1.15,72.85,0.5,1
25,3.54,1.21,73.0,0.65,1
26,3.48,1.41,72.64,0.59,1
27,3.48,1.33,73.04,0.56,1
28,3.52,1.43,73.15,0.57,1
29,3.49,1.28,72.86,0.6,1
30,3.56,1.3,73.08,0.61,1
31,3.5,1.14,73.27,0.56,1
32,3.48,1.23,72.97,0.61,1
33,3.47,1.38,73.39,0.6,1
34,3.54,1.34,72.95,0.57,1
35,3.45,1.21,72.74,0.56,1
36,3.53,1.32,71.81,0.51,1
37,3.48,1.35,72.96,0.64,1
38,3.82,0.47,71.77,0.11,1
39,3.82,0.47,71.77,0.11,1
40,3.5,1.12,73.03,0.64,1
41,3.42,1.2,73.2,0.59,1
42,3.39,1.33,72.76,0.59,1
43,3.84,0.72,71.76,0.17,1
44,3.43,1.19,72.95,0.62,1
45,3.48,1.35,71.95,0.55,1
46,3.37,1.18,72.72,0.57,1
47,3.7,0.71,71.57,0.02,1
48,3.77,0.79,71.99,0.13,1
49,3.35,1.23,72.08,0.59,1
50,3.72,0.51,71.75,0.09,1
51,3.33,1.28,72.36,0.6,1
52,2.87,1.19,72.84,0.55,1
53,2.84,1.28,72.85,0.55,1
54,2.81,1.29,72.98,0.51,1
55,2.71,1.29,73.7,0.56,1
56,3.47,1.12,72.98,0.62,1
57,3.48,1.29,72.95,0.6,1
58,3.74,1.17,72.99,0.59,1
59,3.66,1.19,72.79,0.57,1
60,3.62,1.11,72.64,0.14,1
61,3.58,1.32,71.72,0.12,1
62,3.86,0.88,71.79,0.23,1
63,3.81,0.78,71.35,0.0,1
64,3.74,0.9,72.01,0.18,1
65,3.59,1.12,71.96,0.09,1
66,3.65,0.87,72.22,0.19,1
67,3.65,0.87,72.32,0.19,1
68,3.58,0.9,72.2,0.23,1
69,3.58,0.82,71.99,0.12,1
70,3.67,1.74,71.87,0.16,2
71,3.87,1.27,71.96,0.54,2
72,3.59,1.52,73.1,0.67,2
73,3.57,1.57,72.87,0.61,2
74,3.56,1.54,73.11,0.72,2
75,3.58,1.51,73.12,0.69,2
76,3.61,1.54,72.39,0.66,2
77,3.58,1.54,72.83,0.61,2
78,3.52,1.25,72.88,0.37,2
79,3.52,1.9,72.86,0.69,2
80,3.52,2.12,72.66,0.69,2
81,3.45,1.43,73.17,0.61,2
82,3.55,1.25,72.81,0.68,2
83,3.52,1.55,72.87,0.68,2
84,3.09,2.08,72.28,1.1,2
85,3.58,1.49,72.72,0.45,2
86,3.49,1.47,73.25,0.38,2
87,3.49,1.52,72.65,0.67,2
88,3.5,1.48,72.89,0.6,2
89,3.48,1.87,73.23,0.63,2
90,3.74,1.11,72.28,0.64,2
91,3.44,1.45,73.06,0.44,2
92,3.41,1.58,73.26,0.07,2
93,3.34,1.47,73.1,0.39,2
94,3.33,1.49,73.28,0.67,2
95,3.43,1.43,72.26,0.51,2
96,3.62,1.06,72.34,0.64,2
97,3.25,1.16,73.55,0.62,2
98,2.88,1.71,73.21,0.73,2
99,2.96,1.43,72.92,0.6,2
100,2.85,1.44,73.27,0.57,2
101,2.72,1.63,72.87,0.7,2
102,2.76,0.83,73.81,0.35,2
103,3.15,0.66,70.57,0.08,2
104,2.9,1.17,71.15,0.08,2
105,0.0,1.88,72.19,0.81,2
106,0.0,2.1,69.81,0.58,2
107,0.0,1.0,70.16,0.12,2
108,0.0,1.0,72.67,0.1,2
109,0.0,0.56,74.45,0.0,2
110,0.0,0.77,73.21,0.0,2
111,0.0,0.75,73.08,0.0,2
112,0.0,0.67,72.02,0.06,2
113,3.83,1.26,72.55,0.57,2
114,3.97,1.19,72.44,0.6,2
115,3.89,1.33,72.38,0.51,2
116,3.9,1.41,72.33,0.55,2
117,3.68,1.81,72.06,0.64,2
118,3.64,1.53,72.53,0.65,2
119,3.57,1.47,72.45,0.64,2
120,3.76,1.32,72.4,0.58,2
121,3.54,1.62,72.96,0.64,2
122,3.54,1.48,72.84,0.56,2
123,3.48,1.71,72.52,0.62,2
124,3.68,1.15,72.75,0.54,2
125,3.66,1.56,72.51,0.58,2
126,3.61,1.26,72.75,0.56,2
127,2.28,1.43,71.99,0.49,2
128,2.09,1.67,72.18,0.53,2
129,1.35,1.63,71.76,0.39,2
130,1.01,1.36,72.19,0.33,2
131,0.0,1.36,71.24,0.19,2
132,3.98,1.18,72.49,0.58,2
133,3.93,1.54,71.81,0.54,2
134,3.85,1.25,72.78,0.52,2
135,3.9,1.3,72.33,0.55,2
136,3.8,1.08,73.07,0.56,2
137,3.62,1.57,72.96,0.61,2
138,3.52,1.54,73.36,0.66,2
139,3.56,1.64,73.14,0.65,2
140,3.54,1.61,72.54,0.68,2
141,3.63,1.07,72.83,0.57,2
142,3.51,1.44,73.01,0.68,2
143,3.47,1.79,72.72,0.66,2
144,3.18,1.23,72.97,0.58,2
145,3.67,1.24,72.57,0.62,2
146,3.66,1.11,72.77,0.11,3
147,3.53,1.34,72.67,0.56,3
148,3.57,1.38,72.7,0.56,3
149,3.52,1.35,72.89,0.57,3
150,3.45,1.76,72.48,0.6,3
151,3.9,0.83,71.5,0.0,3
152,3.65,0.65,73.0,0.06,3
153,3.4,1.22,72.69,0.59,3
154,3.58,1.31,72.61,0.61,3
155,3.4,1.26,73.01,0.52,3
156,3.39,1.28,72.64,0.52,3
157,3.76,0.58,71.79,0.11,3
158,3.41,1.52,72.04,0.58,3
159,3.36,1.63,71.94,0.57,3
160,3.34,1.54,72.14,0.56,3
161,3.54,0.75,72.65,0.16,3
162,3.78,0.91,71.36,0.23,3
163,2.68,3.5,69.89,1.68,5
164,1.85,1.86,72.69,0.6,5
165,1.88,1.56,72.86,0.47,5
166,1.71,1.56,73.44,0.58,5
167,0.0,1.65,73.75,0.38,5
168,0.0,1.83,73.88,0.97,5
169,0.0,1.76,73.03,0.47,5
170,0.0,1.58,72.22,0.32,5
171,0.0,3.04,70.48,6.21,5
172,0.0,3.02,70.7,6.21,5
173,0.0,1.4,72.25,0.33,5
174,1.61,2.17,72.18,0.76,5
175,0.33,1.51,73.39,0.13,5
176,2.39,1.56,72.37,0.0,6
177,2.41,1.19,72.76,0.0,6
178,2.24,1.62,72.38,0.0,6
179,2.19,1.66,72.67,0.0,6
180,1.74,1.54,74.55,0.0,6
181,0.78,1.74,72.5,0.0,6
182,0.0,2.09,72.74,0.0,6
183,0.0,0.56,73.48,0.0,6
184,0.0,0.34,75.41,0.0,6
185,3.2,1.81,72.81,1.76,7
186,3.26,2.22,71.25,1.46,7
187,3.34,1.23,72.38,0.6,7
188,2.2,2.06,70.26,0.76,7
189,1.83,1.31,70.43,0.31,7
190,1.78,1.79,73.1,0.0,7
191,0.0,2.38,73.28,0.0,7
192,0.0,2.79,73.46,0.04,7
193,0.0,2.0,73.02,0.0,7
194,0.0,1.98,73.29,0.0,7
195,0.0,2.68,73.39,0.08,7
196,0.0,2.54,73.23,0.14,7
197,0.0,2.34,73.28,0.0,7
198,0.0,2.66,73.1,0.04,7
199,0.0,2.51,73.05,0.05,7
200,0.0,2.25,73.5,0.0,7
201,0.0,1.19,75.18,2.7,7
202,0.0,2.42,73.72,0.0,7
203,0.0,1.99,73.11,0.0,7
204,0.0,2.27,73.3,0.0,7
205,0.0,1.8,72.99,0.0,7
206,0.0,1.87,73.11,0.0,7
207,0.0,1.82,72.86,1.41,7
208,0.0,2.74,72.85,0.0,7
209,0.0,2.88,72.61,0.08,7
210,0.0,1.99,73.06,0.0,7
211,0.0,2.02,73.42,0.0,7
212,0.0,1.94,73.61,0.0,7
213,0.0,2.08,73.36,0.0,7
