,animal_name,hair,feathers,eggs,milk,airborne,aquatic, predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
0,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
1,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
2,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
3,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
4,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
5,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
6,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
7,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
8,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
9,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
10,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
11,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
12,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
13,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
14,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
15,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
16,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
17,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
18,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
19,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
20,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
21,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
22,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
23,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
24,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
25,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
26,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
27,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
28,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
29,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
30,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
31,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
32,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
33,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
34,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
35,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
36,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
37,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
38,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
39,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
40,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
41,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
42,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
43,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
44,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
45,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
46,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
47,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
48,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
49,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
50,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
51,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
52,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
53,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
54,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
55,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
56,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
57,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
58,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
59,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
60,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
61,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
62,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
63,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
64,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
65,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
66,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
67,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
68,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
69,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
70,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
71,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
72,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
73,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
74,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
75,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
76,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
77,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
78,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
79,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
80,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
81,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
82,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
83,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
84,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
85,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
86,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
87,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
88,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
89,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
90,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
91,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
92,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
93,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
94,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
95,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
96,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
97,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
98,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
99,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
